MaterialGroupID;EClassCode;EClassCategory;EClassCategoryDescription;Category_L1;Category_L2;Category_L3;Category_L4
1EJBA;25128900;General services;;General services;Travel & expenses;Employee reimbursement;Employee reimbursement (L3)
1EJCA;25129000;General services;;General services;Travel & expenses;Travel management;Travel management (L3)
1EJDA;25121200;General services;;General services;Travel & expenses;Travel Expenses;Travel expenses (L3)
1EJEA;25121300;General services;;General services;Travel & expenses;Hotel, guesthouse, pension;Hotel, guesthouse, pension (L3)
1FAAA;19000000;IT & telecom;;IT & telecom;IT & telecom (L1);IT & telecom (L1);IT & telecom (L1)
1FBAA;19060000;IT & telecom;;IT & telecom;End-user equipment;End-user equipment (L2);End-user equipment (L2)
1FBBA;19080700;IT & telecom;;IT & telecom;End-user equipment;Audio & visual equipment;Audio & visual equipment (L3)
1FBCA;19060300;IT & telecom;;IT & telecom;End-user equipment;Cellular phone network device;Cellular phone network device (L3)
1FBDA;19010000;IT & telecom;;IT & telecom;End-user equipment;Computer system;Computer system (L3)
1FBEA;19130000;IT & telecom;;IT & telecom;End-user equipment;Input device for computer;Input device for computer (L3)
1FBFA;19060100;IT & telecom;;IT & telecom;End-user equipment;Landline telecommunication device;Landline telecommunication device (L3)
1FBGA;19140300;IT & telecom;;IT & telecom;End-user equipment;Monitor;Monitor (L3)
1FBHA;19010202;IT & telecom;;IT & telecom;End-user equipment;Notebook;Notebook (L3)
1FBIA;19140100;IT & telecom;;IT & telecom;End-user equipment;Printer;Printer (L3)
1FBJA;19010201;IT & telecom;;IT & telecom;End-user equipment;Tablet PC;Tablet PC (L3)
1FBKA;19010500;IT & telecom;;IT & telecom;End-user equipment;Workstation;Workstation (L3)
1FCAA;25241200;IT & telecom;;IT & telecom;Hosting, data center services & cloud;Hosting, data center services & cloud (L2);Hosting, data center services & cloud (L2)
1FDAA;25240000;IT & telecom;;IT & telecom;IT services, service management & support;IT services, service management & support (L2);IT services, service management & support (L2)
1FDBA;25261200;IT & telecom;;IT & telecom;IT services, service management & support;IT consulting;IT consulting (L3)
1FDCA;25241500;IT & telecom;;IT & telecom;IT services, service management & support;IT security services;IT security services (L3)
1FDDA;25240900;IT & telecom;;IT & telecom;IT services, service management & support;IT technical development services;IT technical development services (L3)
1FEAA;19890000;IT & telecom;;IT & telecom;Network & telecom;Network & telecom (L2);Network & telecom (L2)
1FEBA;25241101;IT & telecom;;IT & telecom;Network & telecom;LAN services;LAN services (L3)
1FECA;25241102;IT & telecom;;IT & telecom;Network & telecom;Mobile services;Mobile services (L3)
1FEDA;19170100;IT & telecom;;IT & telecom;Network & telecom;Network component;Network component (L3)
1FEEA;19170000;IT & telecom;;IT & telecom;Network & telecom;Network technology;Network technology (L3)
1FEFA;25241105;IT & telecom;;IT & telecom;Network & telecom;WAN services;WAN services (L3)
1FFAA;19240000;IT & telecom;;IT & telecom;Software & applications;Software & applications (L2);Software & applications (L2)
1FFBA;19211500;IT & telecom;;IT & telecom;Software & applications;Industry software, client operating system;Industry software, client operating system (L3)
1FFCA;19210200;IT & telecom;;IT & telecom;Software & applications;Office application software, client operating system;Office application software, client operating system (L3)
1FFDA;19231300;IT & telecom;;IT & telecom;Software & applications;Security software, mainframe, middleware operating system;Security software, mainframe, middleware operating system (L3)
1FFEA;19210000;IT & telecom;;IT & telecom;Software & applications;Software, client operating system;Software, client operating system (L3)
1GAAA;14000000;Logistics;;Logistics;Logistics (L1);Logistics (L1);Logistics (L1)
1GBAA;14081400;Logistics;;Logistics;Courier services;Courier services (L2);Courier services (L2)
1GBBA;14081402;Logistics;;Logistics;Courier services;Mail & postal services;Mail & postal services (L3)
1GBCA;14081401;Logistics;;Logistics;Courier services;Parcel transport;Parcel transport (L3)
1GCAA;14020000;Logistics;;Logistics;Freight ;Freight (L2);Freight (L2)
1GCBA;14020700;Logistics;;Logistics;Freight ;Air transport;Air transport (L3)
1GCCA;14028900;Logistics;;Logistics;Freight ;Inbound logistics;Inbound logistics (L3)
1GCDA;14029000;Logistics;;Logistics;Freight ;Intercompany Transportation;Intercompany Transportation (L3)
1GCDB;14029000;Logistics;;Logistics;Freight ;Intercompany Transportation;Intercompany Transportation (L3)
1GCEA;14020100;Logistics;;Logistics;Freight ;Outbound road (truck) transport;Outbound road (truck) transport (L3)
1GCEB;14081200;Logistics;;Logistics;Freight ;Outbound road (truck) transport;Heavy transport services (L4)
1GCEC;14020103;Logistics;;Logistics;Freight ;Outbound road (truck) transport;Road transport, asphalt (L4)
1GCED;14020188;Logistics;;Logistics;Freight ;Outbound road (truck) transport;Road transport, dry bulk powder (L4)
1GCEE;14020101;Logistics;;Logistics;Freight ;Outbound road (truck) transport;Road transport, flatbed/curtainside (L4)
1GCEF;14020187;Logistics;;Logistics;Freight ;Outbound road (truck) transport;Road transport, less truck load (L4)
1GCEG;14020189;Logistics;;Logistics;Freight ;Outbound road (truck) transport;Road transport, mixer (L4)
1GCEH;14020102;Logistics;;Logistics;Freight ;Outbound road (truck) transport;Road transport, tipper/dump (L4)
1GCFA;14020300;Logistics;;Logistics;Freight ;Rail transport;Rail transport (L3)
1GCGA;14020401;Logistics;;Logistics;Freight ;River transport;River transport (L3)
1GCHA;14020500;Logistics;;Logistics;Freight ;Sea transport;Sea transport (L3)
1GDAA;14080000;Logistics;;Logistics;Logistic services & charges;Logistic services & charges (L2);Logistic services & charges (L2)
1GDBA;14089000;Logistics;;Logistics;Logistic services & charges;Logistic charges;Logistic charges (L3)
1GDCA;14070200;Logistics;;Logistics;Logistic services & charges;Storage Services;Storage services (L3)
1HAAA;22108900;Maint & prod ser;;Maintenance & production services;Maintenance & production services (L1);Maintenance & production services (L1);Maintenance & production services (L1)
1HBAA;15000000;Maint & prod ser;;Maintenance & production services;Installation and maintenance services;Installation and maintenance services (L2);Installation and maintenance services (L2)
1HBBA;15200800;Maint & prod ser;;Maintenance & production services;Installation and maintenance services;Calibration services;Calibration services (L3)
1HBCA;25020408;Maint & prod ser;;Maintenance & production services;Installation and maintenance services;Civil and structural services;Civil and structural services (L3)
1HBCB;15050300;Maint & prod ser;;Maintenance & production services;Installation and maintenance services;Civil and structural services;Scaffolding services (L4)
1HBCC;22129000;Maint & prod ser;;Maintenance & production services;Installation and maintenance services;Civil and structural services;Structural welding services (L4)
1HBDA;15090900;Maint & prod ser;;Maintenance & production services;Installation and maintenance services;Electrical services;Electrical services (L3)
1HBDB;27330000;Maint & prod ser;;Maintenance & production services;Installation and maintenance services;Electrical services;Automation, instrumentation and control services (L4)
1HBDC;27370000;Maint & prod ser;;Maintenance & production services;Installation and maintenance services;Electrical services;Low voltage electrical services (?480v/600v) (L4)
1HBDD;27078900;Maint & prod ser;;Maintenance & production services;Installation and maintenance services;Electrical services;Medium voltage electrical services (>480v/600v ? 2.5Kv) (L4)
1HBDE;15069000;Maint & prod ser;;Maintenance & production services;Installation and maintenance services;Electrical services;Motors, VFDs, soft start electrical services (L4)
1HBEA;15069089;Maint & prod ser;;Maintenance & production services;Installation and maintenance services;Mechanical services;Mechanical services (L3)
1HBEB;33030590;Maint & prod ser;;Maintenance & production services;Installation and maintenance services;Mechanical services;Conveyor belting services (L4)
1HBEC;15100100;Maint & prod ser;;Maintenance & production services;Installation and maintenance services;Mechanical services;Hydraulics & pneumatics services (L4)
1HBED;21089000;Maint & prod ser;;Maintenance & production services;Installation and maintenance services;Mechanical services;Nonstructural welding, fitting & fabricated metal services (L4)
1HBEE;37129000;Maint & prod ser;;Maintenance & production services;Installation and maintenance services;Mechanical services;Piping services (L4)
1HBEF;25290300;Maint & prod ser;;Maintenance & production services;Installation and maintenance services;Mechanical services;Production equipment cleaning (L4)
1HBEG;15060000;Maint & prod ser;;Maintenance & production services;Installation and maintenance services;Mechanical services;Production equipment services (L4)
1HBFA;15321400;Maint & prod ser;;Maintenance & production services;Installation and maintenance services;Refractory services;Refractory services (L3)
1HCAA;25090000;Maint & prod ser;;Maintenance & production services;Production support services;Production support services (L2);Production support services (L2)
1HCBA;22100600;Maint & prod ser;;Maintenance & production services;Production support services;Drilling and blasting;Drilling and blasting (L3)
1HCBB;25309087;Maint & prod ser;;Maintenance & production services;Production support services;Drilling and blasting;Blasting and ROG services (L4)
1HCBC;25309086;Maint & prod ser;;Maintenance & production services;Production support services;Drilling and blasting;Drilling services (L4)
1HCBD;38060309;Maint & prod ser;;Maintenance & production services;Production support services;Drilling and blasting;Explosives & accessories (L4)
1HCBE;27371890;Maint & prod ser;;Maintenance & production services;Production support services;Drilling and blasting;Monitoring (L4)
1HCCA;25020100;Maint & prod ser;;Maintenance & production services;Production support services;Production support and professional services;Production support and professional services (L3)
1HCCB;13040000;Maint & prod ser;;Maintenance & production services;Production support services;Production support and professional services;Consulting engineering, design (L4)
1HCCC;25260808;Maint & prod ser;;Maintenance & production services;Production support services;Production support and professional services;Consulting engineering, environmental (L4)
1HCCD;22100286;Maint & prod ser;;Maintenance & production services;Production support services;Production support and professional services;Dust suppression and road cleaning (L4)
1HCCE;25140000;Maint & prod ser;;Maintenance & production services;Production support services;Production support and professional services;Quality, inspection and certification services (L4)
1HCCF;21060100;Maint & prod ser;;Maintenance & production services;Production support services;Production support and professional services;Regrind services (L4)
1HCCG;25260800;Maint & prod ser;;Maintenance & production services;Production support services;Production support and professional services;Safety services (L4)
1HCDA;25309000;Maint & prod ser;;Maintenance & production services;Production support services;Quarry production support;Quarry production support (L3)
1HCDB;25309088;Maint & prod ser;;Maintenance & production services;Production support services;Quarry production support;Crushing & screening services (L4)
1HCDC;22100288;Maint & prod ser;;Maintenance & production services;Production support services;Quarry production support;Drag line (L4)
1HCDD;22100287;Maint & prod ser;;Maintenance & production services;Production support services;Quarry production support;Dredging (L4)
1HCDE;25229000;Maint & prod ser;;Maintenance & production services;Production support services;Quarry production support;Loading, hauling, stockpiling (L4)
1HCDF;22100289;Maint & prod ser;;Maintenance & production services;Production support services;Quarry production support;Stripping and excavation services (L4)
1HCDG;25021700;Maint & prod ser;;Maintenance & production services;Production support services;Quarry production support;Surveying (L4)
1HDAA;22100000;Maint & prod ser;;Maintenance & production services;Road construction services;Road construction services (L2);Road construction services (L2)
1HDBA;22101300;Maint & prod ser;;Maintenance & production services;Road construction services;Concrete and reinforced concrete work;Concrete and reinforced concrete work (L3)
1HDCA;22100200;Maint & prod ser;;Maintenance & production services;Road construction services;Groundworks;Groundworks (L3)
1HDCB;22100204;Maint & prod ser;;Maintenance & production services;Road construction services;Groundworks;Erosion control (L4)
1HDCC;22100205;Maint & prod ser;;Maintenance & production services;Road construction services;Groundworks;Grading & excavating (L4)
1HDCD;22100207;Maint & prod ser;;Maintenance & production services;Road construction services;Groundworks;Sub base construction services (L4)
1HDDA;22100300;Maint & prod ser;;Maintenance & production services;Road construction services;Landscaping construction work;Landscaping construction work (L3)
1HDEA;22104500;Maint & prod ser;;Maintenance & production services;Road construction services;Road construction work;Road construction work (L3)
1HDEB;22103106;Maint & prod ser;;Maintenance & production services;Road construction services;Road construction work;Guardrail erection (L4)
1HDEC;22104590;Maint & prod ser;;Maintenance & production services;Road construction services;Road construction work;Pavement marking (L4)
1HDED;25090706;Maint & prod ser;;Maintenance & production services;Road construction services;Road construction work;Road milling (L4)
1HDEE;22104505;Maint & prod ser;;Maintenance & production services;Road construction services;Road construction work;Road surfacing (L4)
1HDEF;25050657;Maint & prod ser;;Maintenance & production services;Road construction services;Road construction work;Road sweeping (L4)
1HDFA;22120000;Maint & prod ser;;Maintenance & production services;Road construction services;Road installment services;Road installment services (L3)
1HDFB;22105200;Maint & prod ser;;Maintenance & production services;Road construction services;Road installment services;Road electrical installment (L4)
1HDFC;22104400;Maint & prod ser;;Maintenance & production services;Road construction services;Road installment services;Road gas, water and sewage installment (L4)
1HDFD;22120100;Maint & prod ser;;Maintenance & production services;Road construction services;Road installment services;Road mechanical installment (L4)
1HDGA;40020100;Maint & prod ser;;Maintenance & production services;Road construction services;Traffic control;Traffic control (L3)
1HDGB;40020120;Maint & prod ser;;Maintenance & production services;Road construction services;Traffic control;Traffic control materials (L4)
1HDGC;22104512;Maint & prod ser;;Maintenance & production services;Road construction services;Traffic control;Traffic control services (L4)
1IAAA;28020000;Mobile equipment;;Mobile equipment;Mobile equipment (L1);Mobile equipment (L1);Mobile equipment (L1)
1IBAA;17050000;Mobile equipment;;Mobile equipment;Mobile equipment HME (L2);Mobile equipment HME (L2);Mobile equipment HME (L2)
1IBBA;36180289;Mobile equipment;;Mobile equipment;Mobile equipment HME;Asphalt grinding/milling;Asphalt grinding/milling (L3)
1IBCA;17058201;Mobile equipment;;Mobile equipment;Mobile equipment HME;Asphalt paving;Asphalt paving (L3)
1IBDA;17058202;Mobile equipment;;Mobile equipment;Mobile equipment HME;Compaction rollers;Compaction rollers (L3)
1IBEA;28020200;Mobile equipment;;Mobile equipment;Mobile equipment HME;Dozer, crawler;Dozer, crawler (L3)
1IBFA;28020286;Mobile equipment;;Mobile equipment;Mobile equipment HME;Dozer, tire;Dozer, tire (L3)
1IBGA;28020100;Mobile equipment;;Mobile equipment;Mobile equipment HME;Excavator, crawler civil;Excavator, crawler civil (L3)
1IBHA;28020186;Mobile equipment;;Mobile equipment;Mobile equipment HME;Excavator, crawler quarry;Excavator, crawler quarry (L3)
1IBIA;28020185;Mobile equipment;;Mobile equipment;Mobile equipment HME;Excavator, rubber tire;Excavator, rubber tire (L3)
1IBJA;17058600;Mobile equipment;;Mobile equipment;Mobile equipment HME;Grader equipment;Grader equipment (L3)
1IBKA;28020285;Mobile equipment;;Mobile equipment;Mobile equipment HME;Haul truck, articulate;Haul truck, articulate (L3)
1IBLA;28020284;Mobile equipment;;Mobile equipment;Mobile equipment HME;Haul truck, rigid frame;Haul truck, rigid frame (L3)
1IBMA;17058204;Mobile equipment;;Mobile equipment;Mobile equipment HME;Material transfer vehicle (MTV);Material transfer vehicle (MTV) (L3)
1IBNA;44130285;Mobile equipment;;Mobile equipment;Mobile equipment HME;Truck end dump;Truck end dump (L3)
1IBOA;44130284;Mobile equipment;;Mobile equipment;Mobile equipment HME;Truck front concrete mixer;Truck front concrete mixer (L3)
1IBPA;44130283;Mobile equipment;;Mobile equipment;Mobile equipment HME;Truck rear concrete mixer;Truck rear concrete mixer (L3)
1IBQA;44130289;Mobile equipment;;Mobile equipment;Mobile equipment HME;Truck tractor equipment;Truck tractor equipment (L3)
1IBRA;22020186;Mobile equipment;;Mobile equipment;Mobile equipment HME;Wheel loaders;Wheel loaders (L3)
1IC1A;44130282;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Truck concrete specialty;Truck concrete specialty (L3)
1IC2A;21080790;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Welders equipment;Welders equipment (L3)
1ICAA;44880000;Mobile equipment;;Mobile equipment;Mobile equipment non HME (L2);Mobile equipment non HME (L2);Mobile equipment non HME (L2)
1ICBA;28020184;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Backhoes / skidsteers;Backhoes / skidsteers (L3)
1ICCA;17058203;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Concrete paving equipment;Concrete paving equipment (L3)
1ICDA;28020504;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Crane equipment;Crane equipment (L3)
1ICEA;36120113;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Dragline equipment;Dragline equipment (L3)
1ICFA;28110101;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Farm tractors;Farm tractors (L3)
1ICGA;36120389;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Forklifts, combustion;Forklifts, combustion (L3)
1ICHA;36120385;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Forklifts, electric and specialty;Forklifts, electric and specialty (L3)
1ICIA;44130189;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;GVWR class 1-5 service fleet;GVWR class 1-5 service fleet (L3)
1ICJA;44020190;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Machine attachment equipment;Machine attachment equipment (L3)
1ICKA;36120290;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Manlifts, boomlifts, scissorlifts equipment;Manlifts, boomlifts, scissorlifts equipment (L3)
1ICLA;28050000;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Marine and air equipment;Marine and air equipment (L3)
1ICMA;27320401;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Mobile equipment, machine scales;Mobile equipment, machine scales (L3)
1ICNA;28069000;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Mobile equipment, misc equipment;Mobile equipment, misc equipment (L3)
1ICOA;21051700;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Mobile generators equipment;Mobile generators equipment (L3)
1ICPA;21129000;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Mobile plants and equipment;Mobile plants and equipment (L3)
1ICQA;44060000;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Mobile pressure vessels;Mobile pressure vessels (L3)
1ICRA;36419000;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Mobile pumps equipment;Mobile pumps equipment (L3)
1ICSA;28100200;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Off hwy water wagon equipment;Off hwy water wagon equipment (L3)
1ICTA;28040000;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Rail cars;Rail cars (L3)
1ICUA;36199000;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Scrapers static, self load equipment;Scrapers static, self load equipment (L3)
1ICVA;26890000;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Signs, light plants, attentuator trucks;Signs, light plants, attentuator trucks (L3)
1ICWA;17058900;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Sweepers and vacuum equipment;Sweepers and vacuum equipment (L3)
1ICXA;28080200;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Trailers and trailer off-load equipment;Trailers and trailer off-load equipment (L3)
1ICYA;17058300;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Trenchers and trimmers;Trenchers and trimmers (L3)
1ICZA;44120000;Mobile equipment;;Mobile equipment;Mobile equipment non HME ;Truck bodies (end-dumps, etc);Truck bodies (end-dumps, etc) (L3)
1IDAA;44000000;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Mobile equipment parts & supplies (L2);Mobile equipment parts & supplies (L2)
1IDBA;44020185;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Attachments, hammers, forks, brooms;Attachments, hammers, forks, brooms (L3)
1IDCA;36099100;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Bed, body, tank, barrel, box, boom;Bed, body, tank, barrel, box, boom (L3)
1IDDA;44100200;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Brake system air and hydraulic;Brake system air and hydraulic (L3)
1IDEA;44890000;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Cab, sheet metal, interior, heating, cooling;Cab, sheet metal, interior, heating, cooling (L3)
1IDEB;44010100;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Cab, sheet metal, interior, heating, cooling;Mobile equipment, interior (L4)
1IDFA;44108900;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Chassis, suspension, main frame, steering;Chassis, suspension, main frame, steering (L3)
1IDFB;44100000;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Chassis, suspension, main frame, steering;Chassis (L4)
1IDFC;44100300;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Chassis, suspension, main frame, steering;Steering (L4)
1IDGA;44020184;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Implements, attachments, buckets, blades, hammers, forks, rippers, brooms;Implements, attachments, buckets, blades, hammers, forks, rippers, brooms (L3)
1IDGB;44020186;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Implements, attachments, buckets, blades, hammers, forks, rippers, brooms;Brooms (L4)
1IDHA;36123400;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Mobile conveyors and handling equipment;Mobile conveyors and handling equipment (L3)
1IDIA;44020188;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Mobile equipment ground engaging tools;Mobile equipment ground engaging tools (L3)
1IDIB;44020187;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Mobile equipment ground engaging tools;Screed (L4)
1IDJA;13090400;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Mobile equipment rebuilds;Mobile equipment rebuilds (L3)
1IDKA;44010000;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Mobile equipment repair shop;Mobile equipment repair shop (L3)
1IDLA;44040000;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Mobile equipment, electrics and electronics parts;Mobile equipment, electrics and electronics parts (L3)
1IDLB;44060300;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Mobile equipment, electrics and electronics parts;Charging system (L4)
1IDLC;44040300;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Mobile equipment, electrics and electronics parts;Lighting (L4)
1IDLD;44110000;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Mobile equipment, electrics and electronics parts;Mobile equipment, air conditioning / cooling (L4)
1IDLE;44080000;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Mobile equipment, electrics and electronics parts;Power generation (L4)
1IDMA;44070000;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Mobile equipment, engine & engine spare parts;Mobile equipment, engine & engine spare parts (L3)
1IDMB;44070702;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Mobile equipment, engine & engine spare parts;Lube system (L4)
1IDMC;44070200;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Mobile equipment, engine & engine spare parts;Mobile equipment, engine (L4)
1IDNA;27308900;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Mobile equipment, hydraulics;Mobile equipment, hydraulics (L3)
1IDNB;44020189;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Mobile equipment, hydraulics;Mobile hoist system (L4)
1IDOA;15100200;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Pneumatic system (non brake), bulk transfer;Pneumatic system (non brake), bulk transfer (L3)
1IDOB;36430000;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Pneumatic system (non brake), bulk transfer;Air compressor system (L4)
1IDPA;44010400;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Service, inspections, safety devices;Service, inspections, safety devices (L3)
1IDQA;44050490;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Telematics, communications, automation;Telematics, communications, automation (L3)
1IDQB;44050400;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Telematics, communications, automation;Navigation and communication systems (L4)
1IDRA;28099000;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Tires / wheels;Tires / wheels (L3)
1IDRB;28090000;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Tires / wheels;Tires (L4)
1IDSA;44099000;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Transmission, torque convertor, axles, transfercase;Transmission, torque convertor, axles, transfercase (L3)
1IDSB;44090100;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Transmission, torque convertor, axles, transfercase;Transmission (main, manual) (L4)
1IDTA;44109000;Mobile equipment;;Mobile equipment;Mobile equipment parts & supplies;Undercarriage, tracks;Undercarriage, tracks (L3)
1IEAA;15130000;Mobile equipment;;Mobile equipment;Mobile equipment services;Mobile equipment services (L2);Mobile equipment services (L2)
1IEBA;36120187;Mobile equipment;;Mobile equipment;Mobile equipment services;Mobile equipment rental;Mobile equipment rental (L3)
1IEBB;28020587;Mobile equipment;;Mobile equipment;Mobile equipment services;Mobile equipment rental;Cranes and boom trucks non-key rental (L4)
1IEBC;36120386;Mobile equipment;;Mobile equipment;Mobile equipment services;Mobile equipment rental;Forklifts non-key rental (L4)
1IEBD;44130286;Mobile equipment;;Mobile equipment;Mobile equipment services;Mobile equipment rental;GVWR class 5-8 trucks non-key rental (L4)
1IEBE;44130186;Mobile equipment;;Mobile equipment;Mobile equipment services;Mobile equipment rental;Light vehicles non-key rental (L4)
1IEBF;28508700;Mobile equipment;;Mobile equipment;Mobile equipment services;Mobile equipment rental;Marine and rail rental (L4)
1IEBG;36180286;Mobile equipment;;Mobile equipment;Mobile equipment services;Mobile equipment rental;Paving and compaction equipment key rental (L4)
1IEBH;28020287;Mobile equipment;;Mobile equipment;Mobile equipment services;Mobile equipment rental;Quarry equipment key rental (L4)
1IEBI;28080287;Mobile equipment;;Mobile equipment;Mobile equipment services;Mobile equipment rental;Trailers rental (L4)
1IECA;15130289;Mobile equipment;;Mobile equipment;Mobile equipment services;Mobile equipment services, auto electrician;Mobile equipment services, auto electrician (L3)
1IEDA;15328900;Mobile equipment;;Mobile equipment;Mobile equipment services;Mobile equipment services, equipment service;Mobile equipment services, equipment service (L3)
1IEEA;25309090;Mobile equipment;;Mobile equipment;Mobile equipment services;Mobile equipment services, fleet management services;Mobile equipment services, fleet management services (L3)
1IEFA;25270190;Mobile equipment;;Mobile equipment;Mobile equipment services;Mobile equipment services, lease agreements;Mobile equipment services, lease agreements (L3)
1IEGA;15328800;Mobile equipment;;Mobile equipment;Mobile equipment services;Mobile equipment services, mechanics;Mobile equipment services, mechanics (L3)
1IEHA;15130200;Mobile equipment;;Mobile equipment;Mobile equipment services;Mobile equipment services, preventative maintenance;Mobile equipment services, preventative maintenance (L3)
1IEIA;15328700;Mobile equipment;;Mobile equipment;Mobile equipment services;Mobile equipment services, rebuilds;Mobile equipment services, rebuilds (L3)
1JAAA;20000000;Packaging;;Packaging;Packaging (L1);Packaging (L1);Packaging (L1)
1JBAA;20030000;Packaging;;Packaging;Bag;Bag (L2);Bag (L2)
1JBBA;20030200;Packaging;;Packaging;Bag;Bag, paper, packaging;Bag, paper, packaging (L3)
1JBCA;20030100;Packaging;;Packaging;Bag;Bag, plastic, packaging;Bag, plastic, packaging (L3)
1JBDA;20240401;Packaging;;Packaging;Bag;Bulk bags;Bulk bags (L3)
1JCAA;20890000;Packaging;;Packaging;Container;Container (L2);Container (L2)
1JCBA;20130000;Packaging;;Packaging;Container;Container, box, packaging;Container, box, packaging (L3)
1JCCA;20050000;Packaging;;Packaging;Container;Container, bucket, packaging;Container, bucket, packaging (L3)
1JCCB;20050101;Packaging;;Packaging;Container;Container, bucket, packaging;Bucket, metal, packaging (L4)
1JCCC;20050290;Packaging;;Packaging;Container;Container, bucket, packaging;Bucket, plastic, packaging (L4)
1JCDA;20140000;Packaging;;Packaging;Container;Container, crate, packaging;Container, crate, packaging (L3)
1JCEA;20060000;Packaging;;Packaging;Container;Container, drum, packaging;Container, drum, packaging (L3)
1JCFA;20190000;Packaging;;Packaging;Container;Lid, packaging;Lid, packaging (L3)
1JDAA;20420000;Packaging;;Packaging;Packaging aid;Packaging aid (L2);Packaging aid (L2)
1JDBA;23330200;Packaging;;Packaging;Packaging aid;Adhesive tape;Adhesive tape (L3)
1JDCA;24281400;Packaging;;Packaging;Packaging aid;Label;Label (L3)
1JDDA;20420200;Packaging;;Packaging;Packaging aid;Load securing material;Load securing material (L3)
1JDDB;20420201;Packaging;;Packaging;Packaging aid;Load securing material;Load securing grid/board, wood (L4)
1JDDC;20420202;Packaging;;Packaging;Packaging aid;Load securing material;Padding (L4)
1JDDD;35030501;Packaging;;Packaging;Packaging aid;Load securing material;Tarpaulin, plastic (L4)
1JDDE;20420210;Packaging;;Packaging;Packaging aid;Load securing material;Tightening strap, metal (L4)
1JDDF;20420209;Packaging;;Packaging;Packaging aid;Load securing material;Tightening strap, plastic (L4)
1JDEAA;20370000;Packaging;;Packaging;Packaging aid;Paperboard;Paperboard (L3)
1JDEAB;20370000;Packaging;;Packaging;Packaging aid;Paperboard;Paperboard (L3)
